example_id,bucket,split,gold,cot_pred,astar_pred,cot_correct,astar_correct,failure_category,selected_rescue,selected_preserve,selected_answer_only
logicqa_0003f347c203,both_wrong,dev,D,A,A,False,False,logical_constraints,False,False,False
logicqa_011b2324a9e8,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_011fa34dfc75,both_wrong,train,D,B,A,False,False,inference_selection,False,False,False
logicqa_0147f287be70,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_0274a2ff7d9f,both_wrong,train,C,D,A,False,False,logical_constraints,False,False,False
logicqa_029ff77f705b,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_02d2a7c1e1d7,both_wrong,dev,B,A,A,False,False,logical_constraints,False,False,False
logicqa_038c26844f52,both_wrong,train,D,A,A,False,False,other,False,False,False
logicqa_04057d952188,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_0409fb744c44,both_correct,dev,A,A,A,True,True,logical_constraints,False,False,False
logicqa_06323f459666,cot_only,train,C,C,A,True,False,logical_constraints,False,True,False
logicqa_06fe9ed00744,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_0706eaf0f42d,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_075a82f6601d,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_07b96cc01f6f,both_wrong,train,A,C,D,False,False,inference_selection,False,False,False
logicqa_0884113f74a9,cot_only,train,A,A,B,True,False,logical_constraints,False,True,True
logicqa_08bbdad0a39c,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_094d61552f0b,both_wrong,dev,C,D,A,False,False,logical_constraints,False,False,False
logicqa_094fa4ad242f,astar_only,dev,A,B,A,False,True,logical_constraints,False,False,False
logicqa_099182b98d0f,both_correct,train,A,A,A,True,True,logical_constraints,False,True,True
logicqa_09cbbbbca4eb,both_wrong,train,A,D,D,False,False,logical_constraints,False,False,False
logicqa_0ab143243a5c,both_correct,train,A,A,A,True,True,logical_constraints,False,True,True
logicqa_0b0af56b8b1d,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_0b8cf6acbf8b,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_0c1e82fdb3cd,both_wrong,dev,D,C,A,False,False,logical_constraints,False,False,False
logicqa_0c55eb716120,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_0c7e087f4f0f,both_correct,train,A,A,A,True,True,logical_constraints,False,False,False
logicqa_0c8d68e82a97,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_0ca24cd9f989,both_wrong,dev,B,A,A,False,False,inference_selection,False,False,False
logicqa_0e03fbcbdf2b,both_wrong,train,C,D,A,False,False,inference_selection,False,False,False
logicqa_0e068192b74c,both_wrong,dev,D,A,A,False,False,logical_constraints,False,False,False
logicqa_0ed3ef9fd502,both_wrong,train,B,C,A,False,False,logical_constraints,False,False,False
logicqa_0fa84ddc19c7,cot_only,dev,A,A,D,True,False,logical_constraints,False,False,False
logicqa_102264898723,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_108c6bcaa4a1,cot_only,train,B,B,C,True,False,logical_constraints,False,True,True
logicqa_1172a430b3d1,both_correct,dev,A,A,A,True,True,logical_constraints,False,False,False
logicqa_131632320e5e,both_correct,train,A,A,A,True,True,logical_constraints,False,False,False
logicqa_13aca5ce3488,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_156a67bcb5c8,both_wrong,train,C,D,A,False,False,logical_constraints,False,False,False
logicqa_16c4764a1874,both_wrong,train,D,C,A,False,False,inference_selection,False,False,False
logicqa_17486e619aad,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_1781eab646c8,both_wrong,train,D,C,A,False,False,logical_constraints,False,False,False
logicqa_18cb4a8bdd52,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_197dec147743,cot_only,train,A,A,D,True,False,logical_constraints,False,True,False
logicqa_197ff4f0865b,astar_only,train,A,B,A,False,True,logical_constraints,True,False,False
logicqa_1980fc9f7f76,astar_only,dev,A,C,A,False,True,logical_constraints,False,False,False
logicqa_199027093617,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_19e198379f42,both_correct,train,A,A,A,True,True,logical_constraints,False,False,False
logicqa_1af782d6273f,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_1b11894b7d8e,both_wrong,dev,C,A,A,False,False,inference_selection,False,False,False
logicqa_1c433cf3fdb2,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_1cda7d953798,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
logicqa_1cf1f5cf0756,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_1d0bdf900708,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_1d2f7d6a11cf,both_wrong,dev,B,A,D,False,False,logical_constraints,False,False,False
logicqa_1d31d69c8895,cot_only,train,C,C,A,True,False,logical_constraints,False,True,False
