example_id,bucket,split,gold,cot_pred,astar_pred,cot_correct,astar_correct,failure_category,selected_rescue,selected_preserve,selected_answer_only
logicqa_0147f287be70,both_correct,train,D,D,D,True,True,inference_selection,False,True,False
logicqa_075a82f6601d,both_wrong,train,D,B,B,False,False,inference_selection,False,False,False
logicqa_07b96cc01f6f,astar_only,train,A,B,A,False,True,inference_selection,True,False,False
logicqa_0884113f74a9,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_08bbdad0a39c,both_wrong,train,B,C,A,False,False,logical_constraints,False,False,False
logicqa_094d61552f0b,both_wrong,train,C,D,A,False,False,logical_constraints,False,False,False
logicqa_099182b98d0f,both_wrong,train,A,C,C,False,False,logical_constraints,False,False,False
logicqa_09cbbbbca4eb,astar_only,dev,A,C,A,False,True,logical_constraints,False,False,False
logicqa_0e068192b74c,cot_only,dev,D,D,A,True,False,logical_constraints,False,False,False
logicqa_0fa84ddc19c7,both_wrong,train,A,B,C,False,False,logical_constraints,False,False,False
logicqa_16c4764a1874,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_25d5a467ade9,cot_only,train,A,A,C,True,False,logical_constraints,False,True,False
logicqa_294fe3fad55a,cot_only,train,B,B,D,True,False,logical_constraints,False,True,False
logicqa_2ce55d0d3014,both_wrong,train,C,B,B,False,False,inference_selection,False,False,False
logicqa_3137ae24a1db,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_33a93760752e,astar_only,train,A,D,A,False,True,logical_constraints,True,False,False
logicqa_3499e427aec9,both_wrong,dev,D,C,C,False,False,other,False,False,False
logicqa_35f17f6bdcb6,both_wrong,train,D,C,A,False,False,inference_selection,False,False,False
logicqa_38130a6366b0,cot_only,dev,D,D,A,True,False,logical_constraints,False,False,False
logicqa_3b11b9adc2ef,astar_only,train,C,A,C,False,True,logical_constraints,True,False,False
logicqa_3b7024a277df,both_correct,dev,B,B,B,True,True,logical_constraints,False,False,False
logicqa_3df8bb19401f,both_wrong,train,C,B,B,False,False,inference_selection,False,False,False
logicqa_416f6c0ef8f2,both_wrong,train,A,B,B,False,False,logical_constraints,False,False,False
logicqa_41f69a0f46ad,cot_only,train,D,D,A,True,False,inference_selection,False,True,False
logicqa_4263123e303e,both_wrong,dev,B,D,A,False,False,logical_constraints,False,False,False
logicqa_4b8dbe4ca7c8,cot_only,dev,C,C,A,True,False,inference_selection,False,False,False
logicqa_4db241d8818f,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_4e1880528a2f,both_wrong,dev,D,B,B,False,False,logical_constraints,False,False,False
logicqa_4e9b9cc01cc3,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_4f721d580ca5,both_correct,train,D,D,D,True,True,logical_constraints,False,True,True
logicqa_4fa4a2f27d44,both_wrong,train,D,C,B,False,False,inference_selection,False,False,False
logicqa_52e783ab466f,both_wrong,train,A,C,C,False,False,inference_selection,False,False,False
logicqa_5838cca0003a,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_5c9164a8a45e,cot_only,train,D,D,A,True,False,inference_selection,False,True,False
logicqa_5d6841f8eb8b,astar_only,train,C,B,C,False,True,logical_constraints,True,False,False
logicqa_604b3362d942,both_wrong,train,B,D,D,False,False,logical_constraints,False,False,False
logicqa_60fafdda009e,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_64d0e5bb6fea,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
logicqa_66e950cfa1ce,cot_only,train,C,C,D,True,False,logical_constraints,False,True,True
logicqa_6cf3b53568db,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_6d540f4e15dc,both_wrong,train,D,B,B,False,False,logical_constraints,False,False,False
logicqa_6e83d898a3c8,both_correct,train,D,D,D,True,True,inference_selection,False,True,False
logicqa_72b6c5009623,both_correct,train,A,A,A,True,True,other,False,True,False
logicqa_75bfd194cf3d,both_wrong,train,D,B,A,False,False,logical_constraints,False,False,False
logicqa_78c31ec20189,both_correct,dev,C,C,C,True,True,logical_constraints,False,False,False
logicqa_7e546f653401,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_7ec4f9166f49,astar_only,train,D,B,D,False,True,inference_selection,True,False,False
logicqa_8206ed072248,both_wrong,dev,B,C,A,False,False,logical_constraints,False,False,False
logicqa_82131f210ffa,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_8344f6bf9441,both_correct,train,A,A,A,True,True,inference_selection,False,True,False
logicqa_855fd92ce052,both_wrong,dev,B,C,A,False,False,logical_constraints,False,False,False
logicqa_88e81150db86,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_8b131a690137,both_correct,train,D,D,D,True,True,logical_constraints,False,True,True
logicqa_8dbbb5e707a9,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
