example_id,bucket,failure_category,gold,cot_pred,astar_pred,new_pred,cot_correct,astar_correct,new_correct
logicqa_09cbbbbca4eb,astar_only,logical_constraints,A,C,A,,False,True,False
logicqa_0e068192b74c,cot_only,logical_constraints,D,D,A,,True,False,False
logicqa_3499e427aec9,both_wrong,other,D,C,C,,False,False,False
logicqa_38130a6366b0,cot_only,logical_constraints,D,D,A,D,True,False,True
logicqa_3b7024a277df,both_correct,logical_constraints,B,B,B,,True,True,False
logicqa_4263123e303e,both_wrong,logical_constraints,B,D,A,D,False,False,False
logicqa_4b8dbe4ca7c8,cot_only,inference_selection,C,C,A,B,True,False,False
logicqa_4e1880528a2f,both_wrong,logical_constraints,D,B,B,D,False,False,True
logicqa_78c31ec20189,both_correct,logical_constraints,C,C,C,D,True,True,False
logicqa_8206ed072248,both_wrong,logical_constraints,B,C,A,D,False,False,False
logicqa_855fd92ce052,both_wrong,logical_constraints,B,C,A,D,False,False,False
logicqa_9093bd5190b1,both_wrong,inference_selection,D,C,C,,False,False,False
logicqa_9f29543bfddc,both_wrong,inference_selection,A,C,B,D,False,False,False
logicqa_aa98e6327681,cot_only,logical_constraints,D,D,A,,True,False,False
logicqa_abe916cf08d3,both_wrong,logical_constraints,D,A,B,,False,False,False
logicqa_b05a4cd465cf,both_wrong,logical_constraints,D,A,C,C,False,False,False
logicqa_e74a220b6592,both_correct,logical_constraints,C,C,C,D,True,True,False
logicqa_ee7769fbab86,astar_only,logical_constraints,B,C,B,B,False,True,True
logicqa_f4d69efd5bcb,both_wrong,logical_constraints,B,A,A,,False,False,False
logicqa_f88ee416caf9,both_correct,logical_constraints,D,D,D,,True,True,False
logicqa_fc6c705cc32b,astar_only,logical_constraints,A,C,A,,False,True,False
